experiment_name,algorithm,dataset,n_train,validation_AK,validation_BX,validation_CH,validation_HS,validation_PS,validation_QS,validation_YW,validation_ZW,validation_good,validation_ng,validation_total,test_AK,test_BX,test_CH,test_HS,test_PS,test_QS,test_YW,test_ZW,test_good,test_ng,test_total,training_seconds,image_auroc,image_ap,pixel_auroc,pixel_ap,avg_inference_time_seconds,miss_rate_at_0.01,false_positive_rate_at_0.01,per_defect_image_auroc_score,per_defect_image_auroc_BX,per_defect_image_auroc_PS,per_defect_image_auroc_QS,per_defect_image_auroc_ZW,per_defect_image_ap_score,per_defect_image_ap_BX,per_defect_image_ap_PS,per_defect_image_ap_QS,per_defect_image_ap_ZW,per_defect_pixel_auroc_score,per_defect_pixel_auroc_BX,per_defect_pixel_auroc_PS,per_defect_pixel_auroc_QS,per_defect_pixel_auroc_ZW,per_defect_pixel_ap_score,per_defect_pixel_ap_BX,per_defect_pixel_ap_PS,per_defect_pixel_ap_QS,per_defect_pixel_ap_ZW,per_defect_image_auroc_AK,per_defect_image_auroc_HS,per_defect_image_ap_AK,per_defect_image_ap_HS,per_defect_pixel_auroc_AK,per_defect_pixel_auroc_HS,per_defect_pixel_ap_AK,per_defect_pixel_ap_HS,per_defect_image_auroc_CH,per_defect_image_ap_CH,per_defect_pixel_auroc_CH,per_defect_pixel_ap_CH,per_defect_image_auroc_YW,per_defect_image_ap_YW,per_defect_pixel_auroc_YW,per_defect_pixel_ap_YW
performance,STFPM,plastic_plug,50,5,,,5,,5,,5,20,20,40,116,,,53,,26,,47,300,242,542,5.109,0.41040633608815424,0.40045201193700414,0.7895554129952125,0.0015440490420013287,0.005134229520232158,0.0371900826446281,0.99,0.4329120312790058,,,0.4717948717948718,0.43117021276595746,0.14676423302720845,,,0.088825829013185,0.12257508701949126,0.7791066835718924,,,0.7993472225886546,0.7661825795589996,0.0006548544062499724,,,0.0003680834097830372,0.0010974358234430294,0.3629597701149425,0.4657232704402515,0.2345019360787281,0.14115407999742938,0.8256610456562881,0.7252358864836274,0.000824210476234876,0.00032968791553894696,,,,,,,,
performance,STFPM,porcelain_doll,50,,,7,7,,,,6,20,20,40,,,52,35,,,,78,300,165,465,4.932,0.6096363636363636,0.47591921324230085,0.8213868251897015,0.0018151389450054688,0.005042043655750251,0.03636363636363636,0.9433333333333334,0.6038766788766788,,,,0.6796153846153846,0.24666294740927863,,,,0.3583527365350727,0.7877237664911769,,,,0.8346967446634668,0.0007720615805528996,,,,0.00112682150414339,,0.6638095238095238,,0.2272840779487018,,0.7264280989999905,,0.00010439548945849112,0.46820512820512816,0.15435202774406137,0.8020464558100736,0.0010849677480568173,,,,
performance,STFPM,regulator,50,,,,,,20,,,20,20,40,,,,3,,43,,,300,46,346,4.517,0.447463768115942,0.1225515835078151,0.7664077553537264,0.0005549163053324588,0.005113176878584102,0.0,0.9466666666666667,0.5445090439276485,,,0.43290697674418605,,0.06830555392670642,,,0.11295038612759437,,0.8427317531911644,,,0.7632789120131402,,0.00029549795987736426,,,0.0005704216764023134,,,0.6561111111111111,,0.02366072172581847,,0.9221845943691888,,2.0574243352415154e-05,,,,,,,,
performance,STFPM,rolled_strip_base,50,7,,,,,7,,6,20,20,40,163,,,,,160,,166,300,489,789,4.839,0.7035991820040899,0.7864781403415355,0.6984026556246117,0.0022638140147901694,0.004754665652981249,0.0081799591002045,0.97,0.703234897411733,,,0.7338645833333334,0.7932429718875502,0.5676153149023394,,,0.6146468243713925,0.644719741946845,0.7555775312063259,,,0.6671526845478941,0.8991730783052325,0.0014760220753933398,,,0.0019383358135817781,0.0011786041385853387,0.582597137014315,,0.443479378388781,,0.7004068307658511,,0.0013111262740129028,,,,,,,,,
performance,STFPM,switch,50,,,,7,,7,,6,20,20,40,,,,157,,145,,155,300,457,757,6.393,0.5175237053245806,0.614360276844054,0.7896044041136655,0.008474262764058875,0.005080571070009652,0.09846827133479212,0.9,0.5168334770016539,,,0.49341379310344824,0.4996344086021506,0.3509020176073847,,,0.3240308368859527,0.34087520674328314,0.7710553589142729,,,0.7928346019306804,0.7992028565029835,0.0047767384054610085,,,0.011246646197344619,0.0022626573445455192,,0.5574522292993631,,0.38780000919291824,,0.7211286183091545,,0.000820911674492889,,,,,,,,
performance,STFPM,tape,50,,,,,7,7,,6,20,20,40,,,,,121,69,,13,300,203,503,10.312,0.5649178981937604,0.4894031187573915,0.7870550220029628,0.0025658044913683953,0.0047547600397140725,0.029556650246305417,0.9566666666666667,0.5779893338984248,,0.5843526170798897,0.5183333333333333,0.6312820512820514,0.25760752266496634,,0.3820772182226989,0.23394800244517708,0.15679734732702294,0.7889131042266885,,0.8008253921279173,0.7868649684715479,0.7790489520806,0.0013966823172352142,,0.0012026800778122439,0.0028398582468220877,0.00014750862707131113,,,,,,,,,,,,,,,,
performance,STFPM,terminalblock,50,7,,,,,7,,6,20,20,40,135,,,,,138,,96,300,369,669,4.854,0.5059485094850948,0.5579588882878412,0.8151404429064273,0.0025633960353432022,0.0045657134528204165,0.10298102981029811,0.9033333333333333,0.5027007962068348,,,0.4427536231884058,0.46736111111111106,0.30171366079885437,,,0.2788464638139884,0.22708967059706806,0.835567878840914,,,0.8005676756106159,0.8950710154551025,0.0016099422653178003,,,0.001947141187575902,0.001810324414577505,0.5979876543209877,,0.3992048479855067,,0.8110649454570232,,0.0010723611937999943,,,,,,,,,
performance,STFPM,toy,50,7,,,7,,,,6,20,20,40,118,,,120,,,,119,300,357,657,4.883,0.5130578898225957,0.5723386873297099,0.7896479037902082,0.003353876249258432,0.005373062100637984,0.008403361344537815,0.9833333333333333,0.5129014101874271,,,,0.4880952380952381,0.3182667325341551,,,,0.2683228669770382,0.7913946868930779,,,,0.832715835797613,0.0025284684724371747,,,,0.003370840998853048,0.4973728813559322,0.553236111111111,0.30377408409286566,0.3827032465325615,0.872110405370433,0.6693578195111879,0.003958558730611062,0.0002560056878474141,,,,,,,,
performance,STFPM,toy_brick,50,5,,,5,,5,,5,20,20,40,62,,,55,,76,,47,300,240,540,5.234,0.5039722222222223,0.45412666922988565,0.705789961543937,0.004276609540842893,0.004898414444472076,0.03333333333333333,0.9766666666666667,0.5168751153481133,,,0.38412280701754387,0.5431205673758865,0.18745285175776621,,,0.16373257369345678,0.17072023869814176,0.6662181135993448,,,0.7742590611670936,0.7137874432442258,0.0016099364327136073,,,0.0036263543247725457,0.0018573608091827262,0.502741935483871,0.6375151515151515,0.1678112027505635,0.2475473918889028,0.6841267265076789,0.4926992234783807,0.0003749804766504187,0.0005810501202487379,,,,,,,,
performance,STFPM,transistor1,50,,7,,,,7,,6,20,20,40,,164,,,,157,,128,300,449,749,5.043,0.45210467706013363,0.5720926681217662,0.840812607129969,0.004289726339304646,0.004728507877299758,0.0066815144766146995,0.9966666666666667,0.44457542818859713,0.5376524390243902,,0.4456050955414012,0.35046874999999994,0.3121116567713671,0.3894183509043441,,0.3210421847329168,0.22587443467684049,0.8427515439798295,0.845649534173484,,0.8744971145371555,0.8081079832288492,0.0024535904388524933,0.0027936790755917736,,0.0023622315916965076,0.0022048606492691986,,,,,,,,,,,,,,,,
performance,STFPM,u_block,50,,,5,5,,5,,5,20,20,40,,,15,12,,37,,40,300,104,404,6.392,0.49607371794871796,0.27279556275661987,0.7210098052732659,0.0010078816144381481,0.004942544306830692,0.0,0.9966666666666667,0.46445063813813814,,,0.4464414414414415,0.5993333333333334,0.09266568897968802,,,0.10468311656544475,0.1847968912355267,0.7311858651689652,,,0.6771991532679551,0.7450921503642619,0.0007604518670670951,,,0.00040225319581171806,0.002408310684673421,,0.3601388888888889,,0.03153723961654647,,0.6974100152555971,,4.611454676288417e-05,0.4518888888888889,0.04964550850123413,0.8050421417880468,0.00018512904102035722,,,,
performance,STFPM,usb,50,,5,,5,,5,,5,20,20,40,,122,,49,,78,,33,300,282,582,4.852,0.4616962174940898,0.4495740966293991,0.8084316184515746,0.0028669107436486074,0.004800375601279456,0.14184397163120568,0.9133333333333333,0.4587402735177911,0.4412295081967213,,0.4995726495726495,0.4007575757575758,0.17071319550942518,0.25315733210015906,,0.20257242540218767,0.08066652588379095,0.7843346658044957,0.85709710852533,,0.7760648253534453,0.7568433080631288,0.001244727283435204,0.0028879625259363305,,0.0014901060214665158,0.00026737773408150377,,0.49340136054421774,,0.14645649865156302,,0.7473334212760788,,0.00033346285225646557,,,,,,,,
performance,STFPM,usb_adaptor,50,5,,5,5,,,,5,20,20,40,80,,17,57,,,,82,300,236,536,5.438,0.4763276836158192,0.4205815483579155,0.7213723597096373,0.0006028967815068815,0.005005766417987127,0.012711864406779662,0.9866666666666667,0.4899456488281021,,,,0.46233739837398374,0.157363573269232,,,,0.19139698556119716,0.7172231589745746,,,,0.732857228189963,0.0002669317864373524,,,,0.00048360941262407084,0.4578958333333333,0.5049415204678362,0.2163668834590049,0.16010821968324523,0.7051961203139868,0.7173124225662743,0.00022555754411619848,0.00019328795260699312,0.534607843137255,0.06158220437348066,0.7135268648280741,0.00016527223640214723,,,,
performance,STFPM,vcpill,50,5,,,5,,5,,5,20,20,40,45,,,6,,102,,35,300,188,488,5.268,0.43755319148936167,0.3642600466308967,0.5782333395304863,0.009624204562532223,0.00513292377043578,0.07446808510638298,0.9533333333333334,0.5025767195767196,,,0.37416666666666665,0.5383809523809524,0.12971708085679445,,,0.22067656481746836,0.1215574529131469,0.6455528820951545,,,0.532804418965783,0.8155777476273682,0.00359022144954862,,,0.0071409794657755,0.002606349620197213,0.4785925925925926,0.6191666666666668,0.13575345220687535,0.04088085348968723,0.6744827090295809,0.5593466527578858,0.0042649319292644315,0.00034862478295733293,,,,,,,,
performance,STFPM,woodstick,50,,,,7,,7,,6,20,20,40,6,,,5,,62,,22,300,95,395,5.68,0.604298245614035,0.31946021916018574,0.7087162183340681,0.002784867152058953,0.00524630911384497,0.031578947368421054,0.9566666666666667,0.5807772075594656,,,0.6002956989247312,0.6440909090909089,0.11300000868343328,,,0.23580638431891504,0.12897034652117562,0.6056492780197031,,,0.7230832323000332,0.7479919958007701,0.0011993416460526274,,,0.0008891222511617112,0.003830213850387001,0.6263888888888889,0.45233333333333337,0.070632543996057,0.01659075989758549,0.5780621112422248,0.37345977273578423,3.4295250121164404e-05,4.3735232540632895e-05,,,,,,,,
