experiment_name,algorithm,dataset,n_train,validation_BX,validation_WR,validation_ZW,validation_defect,validation_good,validation_ng,validation_total,test_BX,test_WR,test_ZW,test_defect,test_good,test_ng,test_total,training_seconds,image_auroc,image_ap,avg_inference_time_seconds,miss_rate_at_0.01,false_positive_rate_at_0.01,per_defect_image_auroc_score,per_defect_image_auroc_BX,per_defect_image_auroc_WR,per_defect_image_auroc_ZW,per_defect_image_ap_score,per_defect_image_ap_BX,per_defect_image_ap_WR,per_defect_image_ap_ZW,per_defect_image_auroc_defect,per_defect_image_ap_defect
performance-realdata,STFPM,AD_cosmobeauty_bottom,50,,,,10,10,10,20,,,,123,264,123,387,6.631,0.6320522296132051,0.4579340648859938,0.006499985012959644,0.056910569105691054,0.8863636363636364,0.6320522296132051,,,,0.4579340648859938,,,,0.6320522296132051,0.4579340648859938
performance-realdata,STFPM,AD_cosmobeauty_longside1,50,,,,10,10,10,20,,,,112,225,112,337,3.753,0.41982142857142857,0.2912176488451384,0.0046061225518209785,0.1875,0.9155555555555556,0.41982142857142857,,,,0.2912176488451384,,,,0.41982142857142857,0.2912176488451384
performance-realdata,STFPM,AD_cosmobeauty_shortside1,50,,,,10,10,10,20,,,,102,221,102,323,4.327,0.5600212935853075,0.3796337371790287,0.004972722910403349,0.0392156862745098,0.8959276018099548,0.5600212935853075,,,,0.3796337371790287,,,,0.5600212935853075,0.3796337371790287
performance-realdata,STFPM,AD_cosmobeauty_top,50,,,,10,10,10,20,,,,186,264,186,450,4.461,0.3827794069729553,0.36148936355622613,0.0046525773331652295,0.0,1.0,0.3827794069729553,,,,0.36148936355622613,,,,0.3827794069729553,0.36148936355622613
performance-realdata,STFPM,AD_toilet_paper,50,4,3,3,,10,10,20,11,9,4,,270,24,294,5.355,0.8578703703703703,0.4109695388237042,0.004607915986346344,0.0,0.5444444444444444,0.8541230203267242,0.8552188552188553,0.8705761316872428,0.8365740740740741,0.23293418376271624,0.3489769483735986,0.28059885265331713,0.06922675026123301,,
performance-realdata,cpr,AD_cosmobeauty_bottom,50,,,,10,10,10,20,,,,123,264,123,387,232.116,0.8956023651145603,0.7028377202892029,0.006548370284321496,0.008130081300813009,0.35984848484848486,0.8956023651145603,,,,0.7028377202892029,,,,0.8956023651145603,0.7028377202892029
performance-realdata,cpr,AD_cosmobeauty_longside1,50,,,,10,10,10,20,,,,112,225,112,337,222.007,0.9588888888888889,0.929044786805297,0.006304301780690674,0.008928571428571428,0.7022222222222222,0.9588888888888889,,,,0.929044786805297,,,,0.9588888888888889,0.929044786805297
performance-realdata,cpr,AD_cosmobeauty_shortside1,50,,,,10,10,10,20,,,,102,221,102,323,219.667,0.9029811019430397,0.8550117740504072,0.006330382043136977,0.00980392156862745,0.918552036199095,0.9029811019430397,,,,0.8550117740504072,,,,0.9029811019430397,0.8550117740504072
performance-realdata,cpr,AD_cosmobeauty_top,50,,,,10,10,10,20,,,,186,264,186,450,235.361,0.8688905180840665,0.8338366574196212,0.006391728666834145,0.010752688172043012,0.9848484848484849,0.8688905180840665,,,,0.8338366574196212,,,,0.8688905180840665,0.8338366574196212
performance-realdata,cpr,AD_toilet_paper,50,4,3,3,,10,10,20,11,9,4,,270,24,294,245.744,0.9864197530864197,0.8734138811734895,0.006241291836781196,0.0,0.9962962962962963,0.9819802967951117,0.996969696969697,0.9823045267489712,0.9666666666666667,0.6240379990379991,0.9494949494949495,0.6852240896358543,0.23739495798319327,,
performance-realdata,cpr-512-100,AD_cosmobeauty_bottom,100,,,,10,10,10,20,,,,123,264,123,387,587.08,0.9604582409460458,0.8295314953854455,0.006354503100831934,0.008130081300813009,0.10227272727272728,0.9604582409460458,,,,0.8295314953854455,,,,0.9604582409460458,0.8295314953854455
performance-realdata,cpr-512-100,AD_cosmobeauty_longside1,100,,,,10,10,10,20,,,,112,225,112,337,561.604,0.9614285714285714,0.9353021184248452,0.006441413056642026,0.008928571428571428,0.8088888888888889,0.9614285714285714,,,,0.9353021184248452,,,,0.9614285714285714,0.9353021184248452
performance-realdata,cpr-512-100,AD_cosmobeauty_shortside1,100,,,,10,10,10,20,,,,102,221,102,323,553.425,0.9371839233430929,0.908613676479086,0.006095931269096905,0.00980392156862745,0.6289592760180995,0.9371839233430929,,,,0.908613676479086,,,,0.9371839233430929,0.908613676479086
performance-realdata,cpr-512-100,AD_cosmobeauty_top,100,,,,10,10,10,20,,,,186,264,186,450,579.993,0.7357649071358748,0.7138846009285896,0.006379236666495368,0.010752688172043012,0.9659090909090909,0.7357649071358748,,,,0.7138846009285896,,,,0.7357649071358748,0.7138846009285896
performance-realdata,cpr-512-100,AD_toilet_paper,100,4,3,3,,10,10,20,11,9,4,,270,24,294,594.025,0.950462962962963,0.6389400294696808,0.006356693537652193,0.0,0.9962962962962963,0.9363386955979549,0.9872053872053872,0.9329218106995886,0.888888888888889,0.37915051694648944,0.7668108239631092,0.29756601423268086,0.07307471264367817,,
